id,age,workclass_id,education_level_id,education_num,marital_status_id,occupation_id,race_id,sex_id,capital_gain,capital_loss,hours_week,country_id,workclass,education_level,marital_status,occupation,race,sex,country,over_50k
11289,22,5,16,10,5,2,3,2,0,0,30,7,Private,Some-college,Never-married,Adm-clerical,Black,Male,Dominican-Republic,0
34529,43,8,11,16,3,11,5,1,0,0,40,40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,United-States,1
28681,45,5,10,13,3,5,5,1,0,0,40,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,United-States,1
21496,41,5,12,9,3,4,5,2,0,0,45,40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,0
27291,56,5,12,9,3,5,5,2,0,0,40,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
24979,48,5,10,13,5,5,5,2,0,0,50,40,Private,Bachelors,Never-married,Exec-managerial,White,Male,United-States,0
219,45,5,10,13,3,11,5,2,0,0,55,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
43087,33,5,12,9,3,4,5,2,0,0,44,40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,0
34862,36,5,12,9,5,2,5,1,3325,0,40,40,Private,HS-grad,Never-married,Adm-clerical,White,Female,United-States,0
25086,46,7,12,9,3,5,5,2,0,0,50,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,0
7160,26,5,16,10,3,13,5,2,0,0,60,40,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,0
41562,17,5,2,7,5,12,5,1,0,0,40,40,Private,11th,Never-married,Protective-serv,White,Female,United-States,0
40667,45,5,16,10,1,2,3,2,0,0,40,40,Private,Some-college,Divorced,Adm-clerical,Black,Male,United-States,0
38224,46,7,16,10,6,5,5,1,1151,0,60,40,Self-emp-not-inc,Some-college,Separated,Exec-managerial,White,Female,United-States,0
47366,46,5,12,9,1,2,5,1,0,0,40,40,Private,HS-grad,Divorced,Adm-clerical,White,Female,United-States,0
26080,32,5,16,10,1,4,5,2,0,0,40,40,Private,Some-college,Divorced,Craft-repair,White,Male,United-States,0
5859,20,5,1,6,5,8,5,2,0,0,40,40,Private,10th,Never-married,Machine-op-inspct,White,Male,United-States,0
8205,18,5,2,7,5,9,3,2,0,0,8,40,Private,11th,Never-married,Other-service,Black,Male,United-States,0
29493,25,6,10,13,5,13,5,2,0,0,80,40,Self-emp-inc,Bachelors,Never-married,Sales,White,Male,United-States,0
21769,52,2,13,14,5,2,5,1,0,0,40,40,Federal-gov,Masters,Never-married,Adm-clerical,White,Female,United-States,1
14655,33,5,12,9,5,7,5,2,4416,0,40,40,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,United-States,0
42615,35,5,12,9,3,15,5,1,0,0,48,40,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Female,United-States,0
40844,54,5,12,9,7,2,3,1,0,0,40,40,Private,HS-grad,Widowed,Adm-clerical,Black,Female,United-States,0
12751,29,6,8,12,5,11,3,1,0,0,40,40,Self-emp-inc,Assoc-acdm,Never-married,Prof-specialty,Black,Female,United-States,0
